event_title,event_description,event_room,event_start_day,event_start_time,event_end_day,event_end_time,event_type,event_age_limit
Guests Meet and Greet/Signing,An opportunity to meet the circle-members of A-ONE and get autographs as desired!,Assembly Hall,4/27/24,22:00,4/27/24,23:00,Guest,
Doors Close (Saturday),TouhouFest closes for the night at 11:00 PM. We'll see you again tommorow at 9:00 AM!,All,4/27/24,23:00,4/27/24,23:00,Convention,
Artist Alley Opens (Saturday),"Come visit Artist Alley and purchase a variety of prints, charms, and other fanworks from local artists! Artist Alley opens Saturday at 9:00 AM.",George Nakano Theatre,4/27/24,9:00,4/27/24,9:00,Convention,
Artist Alley Closes (Saturday),Artist Alley closes on Saturday at 6:00 PM. We'll see you again in Artist Alley on Sunday at 9:00 AM!,George Nakano Theatre,4/27/24,18:00,4/27/24,18:00,Convention,
Cosplay Meetup: The Faithful Gods,"Cosplay Meetup & Photoshoot for cosplayers from the below games and characters:

**Main Protagonists**
- Reimu
- Marisa

**Touhou 10 ""Mountain of Faith""**
- Shizuha
- Minoriko
- Hina
- Nitori
- Momiji
- Aya
- Kanako
- Suwako

**Touhou 12 ""Undefined Fantastic Object""**
- Sanae
- Nazrin
- Kogasa
- Ichirn & Unzan
- Murasa
- Shou
- Byakuren
- Nue

**Touhou 13 ""Ten Desires""**
- Sanae
- Youmu
- Yuyuko
- Kogasa
- Yoshika
- Seiga
- Tokiko
- Futo
- Nue
- Mamizou

**Touhou 16 ""Hidden Star in Four Seasons""**
- Cirno
- Aya
- Eternity Larva
- Nemuno
- Lily White
- Aunn
- Narumi
- Satono & Mai
- Okina

**Touhou 18 ""Unconnected Marketeers""**
- Sakuya
- Sanae
- Mike
- Takane
- Sanyo
- Misumaru
- Tsukasa
- Megumu
- Chimata
- Momoyo
- Murasa
- Yuyuko
- Youmu",Pine Wind Garden,4/27/24,11:30,4/27/24,12:30,Cosplay.Photoshoot,
Cosplay Meetup: The Devil's Mansion,"Cosplay Meetup & Photoshoot for cosplayers from the below games and characters: 

**Touhou 6 ""Embodiment of Scarlet Devil""**
- Reimu
- Marisa
- Rumia
- Daiyousei
- Cirno
- Meiling
- Koakuma
- Patchouli
- Sakuya
- Remilia
- Flandre
- Rin Satsuki

**Touhouvania / Koumanjou Densetsu 1 & 2**
- All costumes and designs featured",Pine Wind Garden,4/27/24,12:30,4/27/24,13:00,Cosplay.Photoshoot,
Cosplay Meetup: Netherworld,"Cosplay Meetup & Photoshoot for cosplayers from the below games and characters: 

**Touhou 7 ""Perfect Cherry Blossom""** 
- Reimu
- Marisa
- Sakuya
- Cirno
- Letty
- Chen
- Alice
- Lily White
- Primsriver Sisters (Lunasa, Merlin & Lyrica)
- Youmu
- Yuyuko
- Ran
- Yukari

**Touhou 9 ""Phantasmagoria of Flower View""**
- Reimu
- Marisa
- Sakuya
- Cirno
- Reisen
- Youmu
- Prismriver Sisters
- Mystia
- Tewi
- Aya
- Medicine
- Yuuka
- Komachi
- Eiki",Pine Wind Garden,4/27/24,13:30,4/27/24,14:00,Cosplay.Photoshoot,
Cosplay Meetup: Go to hell!!,"Cosplay Meetup & Photoshoot for cosplayers from the below games and characters: 

**Protagonists**
- Reimu
- Marisa

**Touhou 11 ""Subterranean Animism""**
- Alice
- Nitori
- Patchouli
- Suika
- Yukari
- Aya
- Kisume
- Yamame
- Parsee
- Yuugi
- Satori
- Orin
- Okuu
- Sanae
- Koishi
- Kanako
- Suwako

**Touhou 17 ""Wily Beast and Weakest Creature""**
- Youmu
- Eika
- Urumi
- Kutaka
- Yachie
- Mayumi
- Keiki
- Saki

**Touhou 17.5 ""Gouyoku Ibun""**
- Kanako
- Murasa
- Jo'on & Shion
- Flandre
- Okina
- Yamame
- Kogasa
- Yuugi
- Okuu
- Kutaka
- Yuuma

**Touhou 19 ""Unfinished Dream of All Living Ghost""**
- Sanae
- Ran
- Aunn
- Nazrin
- Seiran
- Rin
- Tsukasa
- Mamizou
- Yachie
- Saki
- Yuuma
- Suika
- Son Biten
- Enoko
- Chiyari
- Hisami
- Zanmu",Pine Wind Garden,4/27/24,14:00,4/27/24,14:30,Cosplay.Photoshoot,
Photoshoot with Punderfull (Saturday),"A special photoshoot organized by Punderfull, one of our guests at TouhouFest!",Pine Wind Garden,4/27/24,11:30,4/27/24,12:30,Cosplay.Guest.Photoshoot,
Punderfull's Giveaway (Saturday),Punderfull is organizing a giveaway during TouhouFest! Head over to the Public Plaza for more details.,Public Plaza,4/27/24,14:00,4/27/24,15:00,Cosplay.Guest,
Tournament Check-Ins/Free Play,"Check-Ins for anyone partaking in gaming tournaments at TouhouFest. For everyone else, Free Play with a variety of Touhou games will also be available during this time.",Toyota Hall,4/27/24,9:30,4/27/24,10:30,Gaming,
Tournament Wave A (Pools),"Pools for the below games:
- [Touhou 19](https://www.start.gg/tournament/touhoufest-2024/event/touhou-19-udoalg/brackets/1488492/2247283)",Toyota Hall,4/27/24,10:30,4/27/24,12:30,Gaming,
Tournament Wave B (Pools),"Pools for the below games:
- [Touhou 19](https://www.start.gg/tournament/touhoufest-2024/event/touhou-19-udoalg/brackets/1488492/2296293)
- [Touhou Hisoutensoku](https://www.start.gg/tournament/touhoufest-2024/event/touhou-12-3-hisoutensoku/brackets/1389325/2109926)",Toyota Hall,4/27/24,12:30,4/27/24,14:30,Gaming,
Tournament Wave C (Pools + Finals for Touhou Rivals),"Pools for the below games:
- [Touhou Hisoutensoku](https://www.start.gg/tournament/touhoufest-2024/event/touhou-12-3-hisoutensoku/brackets/1389325/2109927)

Finals for the below games:
- [Touhou Rivals](https://www.start.gg/tournament/touhoufest-2024/event/touhou-rivals-workshop-1v1/brackets/1389330/2109933)",Toyota Hall,4/27/24,14:30,4/27/24,16:30,Gaming,
Tournament Wave D (Pools + Finals for Soku),"Pools + Finals for the below games:
- [Touhou Hisoutensoku](https://www.start.gg/tournament/touhoufest-2024/event/touhou-12-3-hisoutensoku/brackets/1389326/2109928)",Toyota Hall,4/27/24,16:30,4/27/24,18:30,Gaming,
Free Play,"A variety of Touhou video games, both official and fanworks, are available for anyone to play!",Toyota Hall,4/27/24,18:30,4/27/24,22:30,Gaming,
"The Diverse Universe of Touhou Fanworks 
and Fan-Creations","Join us for a deep dive into several popular Touhou fanworks and analyze on what makes them tick. We’ll cover a wide range of different works just as Reireimu, KKHTA and more!",Garden Room B,4/27/24,11:00,4/27/24,12:00,Panels,
"Even A Monkey Can Draw Anime Girls: 
How Touhou 1draw Can Boost Your Drawing Skills!","Do you look at pretty Touhou art on social media and feel a sense of creative envy? Did you stop drawing in high school and now, years later, you regret it? Jenn did too, until she found the solution to her woes: Touhou 1draw, an online drawing game created by Japanese Touhou artists. Jenn will explain her past struggles with learning to draw, what Touhou 1draw is and how it helped her improve, and invite the audience to join her for a Touhou 1draw session! (20 minute presentation, 1 hour drawing session)",Garden Room B,4/27/24,12:30,4/27/24,13:30,Panels,
"Gensokyo You Can! Moriya Shrine: 
The Gateway to Touhou Pilgrimage","You dreamed about going to a Touhou Pilgrimage. How do you decide where to visit? Did you know 
Lake Suwa is an excellent choice?

In this panel, I hope to inspire you to visit a place of Touhou reference through a tour of the locale and
culture that inspired the Residents of the Moriya Shrine.",Garden Room B,4/27/24,14:00,4/27/24,15:30,Panels,
"Touhou M-1 Grand Prix: 
Translating on Lunatic","Take a peek behind the curtain of Touhou M-1 Grand Prix's English translation to learn about the fun and challenges 
of localizing comedy. See what goes into making a Japanese work both understandable and enjoyable to English 
speakers.",Garden Room B,4/27/24,16:00,4/27/24,17:30,Panels,
"The Secret Sealing Club Panel: 
Magic, Mystery, and Merryment","Touhou Creators Megapig9001 (Dreamweaver, Bad Apple Explained, Sealing Song) and Aeon (Lensed Night Sky, 
I Love Not Thinking, Yukari) dive into the world of Touhou's Secret Sealing Club (the CDs with Merry and Renko). 
Designed for both those who already love the Sealing Club and those who want to learn: this panel will take you 
through an intro to the club, mini-analyses of all the CDs, an overview of fanworks, speculation on the upcoming CD,
and the panel presenter's personal connection to Hifuu. ",Garden Room B,4/27/24,17:30,4/27/24,18:00,Panels,
Doors Open (Sunday),TouhouFest's Sunday start time is 9:00AM.,All,4/28/24,9:00,4/28/24,9:00,Convention,
TAMUSIC Performance,"Here comes a returning guest of honor, TAMUSIC!!!! He'll be performing with us again this year at TouhouFest 2024 with his signature violin!",Torino Plaza,4/28/24,13:00,4/28/24,14:30,Performance.Guest,
TAM Signing/Meet and Greet,An opportunity to meet + get to know TAM himself and get autographs as desired!,Torino Plaza,4/28/24,14:30,4/28/24,15:00,Guest,
Closing Ceremonies,Thank you all for attending TouhouFest 2024! MikoTan and others on staff will give a few closing remarks.,Torino Plaza,4/28/24,17:00,4/28/24,17:30,Convention,
Beyond the Boundary: Underground Touhou Doujin Music,"Gaze at what lies beyond. A look into  the obscured yet endlessly vast underground scene of Touhou doujin music
 fanwork, and a primer to discover and support the circles which make it all happen!",Assembly Hall,4/27/24,13:00,4/27/24,14:00,Panels,
TOUHOU WRESTLING!,"Paradarx presents Touhou Wrestling! A few recorded rounds using the WWE 2K22 game to have custom characters 
duke it out with one another!",Assembly Hall,4/28/24,11:30,4/28/24,13:00,Panels,
Doors Close (Sunday),TouhouFest closes shop on Sunday at 6:00 PM. See you all next year!,All,4/28/24,18:00,4/28/24,18:00,Convention,
Artist Alley Opens (Sunday),"Come visit Artist Alley and purchase a variety of prints, charms, and other fanworks from local artists! Artist Alley opens Sunday at 9:00 AM.",George Nakano Theatre,4/28/24,9:00,4/28/24,9:00,Convention,
Artist Alley Closes (Sunday),Artist Alley closes on Sunday at 5:30 PM. We'll see you again next year!,George Nakano Theatre,4/28/24,17:30,4/28/24,17:30,Convention,
Photoshoot with Punderfull (Sunday),"A special photoshoot organized by Punderfull, one of our guests at TouhouFest!",Pine Wind Garden,4/28/24,11:00,4/28/24,12:00,Cosplay.Guest.Photoshoot,
Cosplay Meetup: PC-98,"Cosplay Meetup & Photoshoot for any characters from the Touhou PC-98 games.

**Main Protagonists**
- Reimu
- Marisa

**Touhou 1 ""Highly Responsive to Prayers""**
- Singyoku
- Yuugenmagan
- Elis
- Sariel
- Mima
- Kikuri

**Touhou 2 ""Story of Eastern Wonderland""**
- Genji
- Rika
- Meira
- Mima

**Touhou 3 ""Phantasmagoria of Dimensional Dream""**
- Mima
- Ellen
- Kana
- Kotohime
- Rikako
- Yumemi
- Ruukoto
- Mimi-chan

**Touhou 4 ""Lotus Land Story""**
- Orange
- Kurumi
- Elly
- Yuuka
- Mugetsu
- Gengetsu

**Touhou 5 ""Mystic Square""**
- Mima
- Yuuka
- Wheel Demon
- Sara
- Louise
- Hikariko
- Alice
- Yuki
- Mai
- Ayano
- Yumeko
- Shinki",Pine Wind Garden,4/28/24,10:30,4/28/24,11:00,Cosplay,
Cosplay Meetup: Lunar Landing in the Bamboo Forest,"Cosplay Meetup & Photoshoot for cosplayers from the below games and characters: 

**Main Protagonists**
- Reimu
- Marisa

**Touhou 8 ""Imperishable Night""**
- Yukari
- Alice
- Remilia
- Sakuya
- Yuyuko
- Youmu
- Wriggle
- Mystia
- Keine
- Tewi
- Reisen
- Eirin
- Kaguya
- Mokou

**Touhou 15 ""Legacy of Lunatic Kingdom""**
- Sanae
- Reisen
- Seiran
- Ringo
- Doremy
- Sagume
- Clownpiece
- Junko
- Hecatia

**Touhou 14 ""Double Dealing Character""**
- Cirno
- Wakasagahime
- Kagerou
- Benben & Yatsuhashi
- Seija
- Sukuna
- Raiko
- Mokou
- Hecatia
- Raiko",Pine Wind Garden,4/28/24,11:00,4/28/24,12:00,Cosplay.Photoshoot,
Cosplay Meetup: Fighting Games,"Cosplay Meetup & Photoshoot for cosplayers from any of the fighting games and characters.

**Main Protagonists**
- Reimu
- Marisa

**Touhou 7.5 ""Immaterial and Missing Power""**
- Sakuya
- Alice
- Patchouli
- Youmu
- Remilia
- Yuyuko
- Yukari
- Suika
- Meiling

**Touhou 10.5 ""Scarlet Weather Rhapsody""**
- Sakuya
- Alice
- Patchouli
- Youmu
- Remilia
- Yuyuko
- Yukari
- Reisen
- Suika
- Aya
- Komachi
- Iku
- Tenshi

**Touhou 12.3 ""Hisoutensoku""**
- Sanae
- Cirno
- Meiling
- Alice
- Patchouli
- Okuu
- Suwako
- Hisoutensoku
- Goliath Doll

**Touhou 13.5 ""Hopeless Masquerade""**
- Ichirn & Unzan
- Byakuren
- Futo
- Miko
- Nitori
- Koishi
- Mamizou
- Kokoro

**Touhou 14.5 ""Urban Legend in Limbo""**
- Ichiran & Unzan
- Byakuren
- Futo
- Miko
- Nitori
- Koishi
- Mamizou
- Kokoro
- Mokou
- Kasen
- Sukun
- Sumireko
- Reisen

**Touhou 15.5 ""Antimony of Common Flowers""**
- Ichiran & Unzan
- Byakuren
- Futo
- Miko
- Nitori
- Koishi
- Mamizou
- Kokoro
- Mokou
- Kasen
- Sukuna
- Sumireko
- Reisen
- Doremy
- Tenshi
- Yukari
- Jo'on
- Shion",Pine Wind Garden,4/28/24,12:00,4/28/24,13:00,Cosplay.Photoshoot,
Free Play,"A variety of Touhou video games, both official and fanworks, are available for anyone to play!",Toyota Hall,4/28/24,9:00,4/28/24,10:00,Gaming,
Tournament Wave E (Pools + Finals for Touhou AoCF),"Pools/Finals for the below games:
- [Touhou 15.5 AoCF](https://www.start.gg/tournament/touhoufest-2024/event/touhou-15-5-aocf/brackets/1389327/2109929)",Toyota Hall,4/28/24,10:00,4/28/24,12:00,Gaming,
Tournament Wave F (Pools + Finals for Touhou 19),"Pools for the below games:
- [Touhou Fractured Transcience](https://www.start.gg/tournament/touhoufest-2024/event/touhou-fractured-transience-early-build-bracket/brackets?filter=%7B%22phaseId%22%3A1520894%2C%22perPage%22%3A2%7D)

Finals for the below games:
- [Touhou 19](https://www.start.gg/tournament/touhoufest-2024/event/touhou-19-udoalg/brackets/1525803/2296294)",Toyota Hall,4/28/24,12:00,4/28/24,14:00,Gaming,
Tournament Wave G (Finals for Touhou Fractured Transience),"Finals for the below games:
- [Touhou Fractured Transcience](https://www.start.gg/tournament/touhoufest-2024/event/touhou-fractured-transience-early-build-bracket/brackets/1525804/2296296)",Toyota Hall,4/28/24,14:00,4/28/24,16:00,Gaming,
Free Play,"A variety of Touhou video games, both official and fanworks, are available for anyone to play!",Toyota Hall,4/28/24,16:00,4/28/24,17:00,Gaming,
Phantasmagoria (of Flower View) Wants You!,"Phantasmagoria of Flower View is THE BEST Touhou game you've neglected to give a chance. You need a different mindset coming in, 
thankfully, help is here, as I (Suwawako), will help teach you the basic ins-and-outs, fun things and weird tidbits about this weird game no
one seems to praise. I might even change your mind too",Garden Room B,4/28/24,11:00,4/28/24,12:00,Panels,
Touhou Fan Game Jam: Alway Rember Sleep,"Introducing the Touhou Fan Game Jam community ([Discord here](https://discord.gg/touhougamejam)) and the regularly held Touhou Fan Game Jams 
and Touhou Pride Game Jams. In addition to covering why people attempt to make games in 72 hours and how the events work, we will 
explore adjacent topics such as the development of jam games post-jam, the Touhou indie gamedev scene, and our individual journeys as
game developers. ",Garden Room B,4/28/24,12:00,4/28/24,13:00,Panels,
Touhou Luna Nights Any% Speed Run,"A speedrun of one of the most popular Touhou fangames of all time, the  run will complete the base game up to Flandre's 
fight in less than 50 minutes, without utilizing any major glitches or skipping sections of  the game.",Garden Room B,4/28/24,13:00,4/28/24,14:00,Panels,
The Weird World of PC-98 Touhou,"An overview of the five games in the PC-98 era of Touhou, discussing the characters, gameplay, and story.",Garden Room B,4/28/24,14:00,4/28/24,15:00,Panels,
Reading the Moon: How to fully appreciate Silent Sinner in Blue,"Have you tried to get into Bougetsushou (Silent Sinner in Blue and Cage in Lunatic Runagate) but couldn't enjoy it? Or 
have you wanted to read it, but never got around to it? This panel is intended to set the stage for the series, introducing 
the mythological background and inspirations ZUN used for the works. Learn why Toyohime is depicted with sharks, 
why there are rabbits on the moon, why Reimu thinks Okuninushi is ""handsome,"" and more!",Garden Room B,4/28/24,15:30,4/28/24,16:30,Panels,
Punderfull's Giveaway (Sunday),Punderfull is organizing a giveaway during TouhouFest! Head over to the Public Plaza for more details.,Public Plaza,4/28/24,12:00,4/28/24,13:00,Cosplay.Guest,
Vendors Open (Saturday),"Come visit Vendors and purchase a variety of prints, charms, and other fanworks from local artists! Vendors opens Saturday at 9:00 AM.",Entry Plaza,4/27/24,9:00,4/27/24,9:00,Convention,
Vendors Close (Saturday),Vendors closes on Saturday at 6:00 PM. We'll see you again in Vendors on Sunday at 9:00 AM!,Entry Plaza,4/27/24,18:00,4/27/24,18:00,Convention,
Vendors Open (Sunday),"Come visit Vendors and purchase a variety of prints, charms, and other fanworks from local artists! Vendors opens Sunday at 9:00 AM.",Entry Plaza,4/28/24,9:00,4/28/24,9:00,Convention,
Vendors Close (Sunday),Vendors closes on Sunday at 5:30 PM. We'll see you again next year!,Entry Plaza,4/28/24,17:30,4/28/24,17:30,Convention,
